artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Fetty Wap;679 (feat. Remy Boyz);196693;2015;190.05;hip hop, pop;0.717;7;-5.738
Usher;More - RedOne Jimmy Joker Remix;219986;2010;125.083;hip hop, pop, R&B;0.893;7;-2.628
Flo Rida;Wild Ones (feat. Sia);232946;2012;127.075;hip hop, pop;0.86;5;-5.324
Janet Jackson;Doesn't Really Matter;265026;2001;99.316;pop, R&B;0.796;5;-3.081
Ellie Goulding;Burn;231211;2014;87.016;pop, rock, Dance/Electronic;0.777;1;-5.031
Taio Cruz;Dynamite;202613;2010;119.975;hip hop, pop;0.783;4;-3.724
MGMT;Little Dark Age;299960;2018;97.512;rock;0.712;6;-6.156
Katy Perry;Last Friday Night (T.G.I.F.);230746;2012;126.03;pop;0.815;3;-3.796
Daddy Yankee;Dura;200480;2018;95.001;latin;0.84;1;-3.416
Kodak Black;Tunnel Vision;268186;2017;171.853;hip hop;0.489;11;-7.724
Beyoncé;Beautiful Liar;199853;2007;91.977;pop, R&B;0.751;8;-3.74
WILLOW;Wait a Minute!;196520;2015;101.003;pop, R&B, Dance/Electronic;0.705;3;-5.279
Emma Bunton;What Took You So Long?;241000;2001;118.011;pop;0.772;9;-5.4
Kanye West;Jesus Walks;193733;2004;87.312;hip hop;0.834;3;-4.686
Charlene Soraia;Wherever You Will Go;197577;2011;111.202;pop;0.115;9;-9.217
Bruno Mars;Grenade;222091;2010;110.444;pop;0.558;2;-7.273
T.I.;Live Your Life;338853;2008;159.841;hip hop, pop;0.862;11;-3.363
A Boogie Wit da Hoodie;Swervin (feat. 6ix9ine);189486;2018;93.023;hip hop;0.662;9;-5.239
ScHoolboy Q;Collard Greens;299960;2014;153.972;hip hop, pop;0.571;11;-4.871
Clean Bandit;Symphony (feat. Zara Larsson);214866;2017;122.95;pop, Dance/Electronic;0.609;0;-4.699
Imagine Dragons;Thunder;187146;2017;167.88;rock;0.81;0;-4.749
Ciara;Like a Boy;237053;2006;132.035;pop, R&B;0.724;0;-5.751
Bastille;Pompeii;214147;2013;127.435;pop, rock;0.715;9;-6.383
Nicky Jam;X;172854;2019;179.968;latin;0.749;9;-5.298
Snow Patrol;You're All I Have;273333;2006;132.013;World/Traditional, rock, pop;0.921;2;-4.554
Alessia Cara;Scars To Your Beautiful;230226;2016;194.169;pop, R&B;0.739;0;-5.74
Blazin' Squad;Crossroads - Radio Edit;188693;2012;144.188;set();0.746;4;-5.153
Kanye West;Flashing Lights;237506;2007;90.482;hip hop;0.628;6;-7.578
Chingy;Pullin' Me Back;234133;2006;80.0;hip hop, pop, R&B;0.511;7;-6.66
Keyshia Cole;Love;255333;2005;116.714;hip hop, pop, R&B;0.519;5;-4.285
Eminem;Cleanin' Out My Closet;297840;2002;148.015;hip hop;0.758;9;-4.753
One Direction;Story of My Life;245493;2013;121.07;pop;0.663;3;-5.802
Moloko;The Time Is Now;318280;2000;127.962;pop, Dance/Electronic;0.743;9;-10.644
Carl Thomas;I Wish;226760;2000;89.824;pop, R&B;0.666;1;-4.929
Paulo Londra;Adan y Eva;256971;2019;171.993;hip hop, latin, Dance/Electronic;0.709;1;-4.47
Bridgit Mendler;Ready or Not;200946;2012;93.043;pop;0.872;2;-3.835
Sia;Elastic Heart;257200;2014;130.075;pop;0.791;9;-4.998
Jason Derulo;Don't Wanna Go Home;206080;2011;121.956;hip hop, pop;0.808;2;-4.861
Lil Baby;Yes Indeed;142273;2018;119.957;hip hop;0.346;5;-9.309
Daniel Bedingfield;If You're Not The One;257026;2002;119.998;pop;0.538;10;-7.608
